date,open,high,low,close,volume
2023-11-06,41.16,42.2,39.66,42.16,4866558.59
2023-11-07,42.16,44.78,40.08,42.93,8826660.47
2023-11-08,42.93,43.88,42.25,43.13,4580371.01
2023-11-09,43.12,48.88,41.36,45.29,12546941.33
2023-11-10,45.3,57.54,45.05,56.67,14708555.35
2023-11-11,56.67,63.95,53.55,56.34,13790858.3
2023-11-12,56.36,61.86,54.5,56.28,10246085.39
2023-11-13,56.27,59.86,51.28,51.6,11066863.24
2023-11-14,51.6,57.99,51.12,56.81,12213778.24
2023-11-15,56.81,67.12,56.15,65.43,12800109.28
2023-11-16,65.43,68.2,56.31,57.8,13868327.04
2023-11-17,57.81,60.57,54.1,58.51,11968303.78
2023-11-18,58.52,59.37,54.7,58.56,7374946.5
2023-11-19,58.56,62.1,56.61,61.1,7009650.09
2023-11-20,61.1,61.33,56.0,56.57,7127562.28
2023-11-21,56.57,57.4,51.23,51.65,10741088.9
2023-11-22,51.65,58.94,51.43,57.56,7891464.65
2023-11-23,57.55,59.63,56.14,56.51,4925635.15
2023-11-24,56.52,58.79,56.2,56.86,3905651.92
2023-11-25,56.86,59.82,55.7,58.82,4095129.28
2023-11-26,58.81,59.04,56.12,57.57,3097837.47
2023-11-27,57.57,58.09,53.47,55.06,4618869.6
2023-11-28,55.06,58.65,53.94,58.18,5642915.95
2023-11-29,58.18,61.78,57.72,59.31,7574392.84
2023-11-30,59.31,61.7,58.75,59.3,4597104.01
2023-12-01,59.3,61.9,58.6,59.75,5422494.06
2023-12-02,59.74,63.9,59.67,63.66,4898503.76
2023-12-03,63.66,65.53,62.22,62.98,4675198.65
2023-12-04,62.99,65.25,59.75,61.64,7696216.19
2023-12-05,61.63,62.6,59.11,61.03,6032438.26
2023-12-06,61.04,66.68,61.03,61.85,11121135.68
2023-12-07,61.85,69.37,61.64,67.74,10648583.32
2023-12-08,67.74,75.3,67.74,74.94,11314830.348
2023-12-09,74.93,77.78,71.5,72.3,8809964.3
2023-12-10,72.31,74.89,70.67,74.87,5886808.01
2023-12-11,74.88,75.0,64.18,70.25,12970688.47
2023-12-12,70.24,72.42,65.75,68.6,7763463.64
2023-12-13,68.6,72.6,63.67,70.62,8271925.44
2023-12-14,70.62,76.24,68.18,75.68,7493589.41
2023-12-15,75.68,79.5,72.13,72.51,8834567.44
2023-12-16,72.51,77.22,71.18,73.72,5513079.61
2023-12-17,73.71,75.05,70.36,70.87,5108641.26
2023-12-18,70.85,75.46,67.0,74.42,7219822.33
2023-12-19,74.41,76.37,71.78,73.0,6086806.16
2023-12-20,73.0,84.14,72.96,82.21,10701294.29
2023-12-21,82.22,95.54,81.03,93.84,12129644.35
2023-12-22,93.86,99.5,90.34,97.9,11975121.56
2023-12-23,97.91,110.0,92.8,107.88,8336420.6
2023-12-24,107.88,118.1,107.3,112.45,12261699.03
2023-12-25,112.45,126.36,107.92,120.91,11114497.92
2023-12-26,120.91,121.36,102.09,112.49,12300095.38
2023-12-27,112.48,115.3,104.58,106.91,8972638.9
2023-12-28,106.92,109.66,97.14,101.8,10194201.02
2023-12-29,101.8,110.0,99.0,106.17,9432538.67
2023-12-30,106.17,107.47,100.62,101.9,4178339.62
2023-12-31,101.9,105.21,99.54,101.72,3821990.67
2024-01-01,101.72,109.93,101.44,109.91,4403310.37
2024-01-02,109.93,116.95,106.02,106.73,7831366.05
2024-01-03,106.72,109.9,85.0,98.52,12221060.38
2024-01-04,98.52,108.15,96.6,104.91,7235482.95
2024-01-05,104.91,105.48,95.23,99.94,6703567.21
2024-01-06,99.93,100.3,91.53,93.77,5151478.03
2024-01-07,93.77,96.8,87.68,89.44,5547334.15
2024-01-08,89.44,99.97,85.16,97.88,9677497.13
2024-01-09,97.88,104.89,95.25,99.36,8574930.67
2024-01-10,99.36,105.52,91.68,102.0,8634280.07
2024-01-11,101.99,107.32,97.67,99.9,8986682.95
2024-01-12,99.89,100.49,87.0,92.12,6462190.24
2024-01-13,92.14,97.05,89.51,95.85,4054010.92
2024-01-14,95.85,102.87,93.62,93.81,5767904.66
2024-01-15,93.81,96.96,92.97,94.36,3605978.31
2024-01-16,94.35,98.73,94.16,97.61,3768288.08
2024-01-17,97.6,102.8,96.5,102.1,6932306.54
2024-01-18,102.1,103.59,91.41,94.4,6216673.0
2024-01-19,94.39,95.47,87.04,93.62,6357442.75
2024-01-20,93.62,94.27,90.2,92.88,2799385.87
2024-01-21,92.88,93.93,90.79,91.09,2013751.83
2024-01-22,91.08,91.9,82.06,83.84,7065444.82
2024-01-23,83.84,86.0,79.0,84.35,8284305.33
2024-01-24,84.36,89.47,83.3,88.77,6058894.15
2024-01-25,88.77,89.64,85.09,86.91,4002698.2
2024-01-26,86.9,93.72,85.96,92.28,4693818.55
2024-01-27,92.29,94.5,90.68,94.28,2735837.45
2024-01-28,94.27,99.44,93.31,95.98,5618408.23
2024-01-29,95.99,101.98,95.06,101.68,5772519.82
2024-01-30,101.67,106.49,100.95,101.4,6990527.25
2024-01-31,101.4,102.73,95.9,96.96,8609956.87
2024-02-01,96.96,98.11,93.11,97.81,6556006.07
2024-02-02,97.81,102.57,97.39,100.58,5487861.84
2024-02-03,100.57,101.24,96.53,97.96,2787373.11
2024-02-04,97.95,98.59,95.08,95.49,2914876.34
2024-02-05,95.48,98.7,94.11,95.66,3891146.06
2024-02-06,95.66,97.88,92.88,96.88,4279238.07
2024-02-07,96.87,101.58,94.62,101.14,4577672.06
2024-02-08,101.14,104.98,100.51,102.76,5082811.46
2024-02-09,102.77,109.13,102.76,106.94,6686758.45
2024-02-10,106.94,110.86,106.86,109.01,3939526.49
2024-02-11,109.01,110.67,107.24,107.46,2755398.4
2024-02-12,107.46,112.22,103.4,111.64,6169652.05
2024-02-13,111.65,115.15,108.25,112.48,5622825.56
2024-02-14,112.49,118.69,110.61,116.97,4884824.42
2024-02-15,116.97,118.39,111.51,113.5,4927735.5
2024-02-16,113.5,114.25,107.94,110.33,3947132.77
2024-02-17,110.32,111.08,105.0,108.92,2897705.67
2024-02-18,108.92,114.04,107.51,112.24,3083833.73
2024-02-19,112.25,114.87,110.75,111.53,3746704.95
2024-02-20,111.53,112.11,103.0,108.31,5676734.13
2024-02-21,108.32,108.4,100.23,105.03,4752688.01
2024-02-22,105.04,107.1,101.53,101.76,3905642.33
2024-02-23,101.75,103.1,98.64,99.9,3546853.99
2024-02-24,99.91,104.85,98.48,104.01,2334116.02
2024-02-25,104.02,104.43,102.0,103.47,1967184.81
2024-02-26,103.47,110.89,100.29,109.9,5392138.71
2024-02-27,109.9,112.3,105.29,108.36,6198163.52
2024-02-28,108.35,119.06,106.85,119.03,11832282.01
2024-02-29,119.03,134.65,117.15,125.68,13847087.32
2024-03-01,125.68,137.8,125.61,129.43,8376631.09
2024-03-02,129.43,131.69,127.2,130.02,4693251.94
2024-03-03,130.03,132.11,124.17,130.16,5228370.86
2024-03-04,130.16,134.95,127.35,133.27,8053684.79
2024-03-05,133.26,142.72,105.0,125.31,17035242.52
2024-03-06,125.31,134.95,120.0,130.79,9581617.48
2024-03-07,130.8,149.3,130.52,143.82,10952975.3
2024-03-08,143.82,152.64,142.0,144.79,8096745.65
2024-03-09,144.79,149.15,143.54,144.29,3686876.81
2024-03-10,144.3,148.5,140.43,144.39,4489519.25
2024-03-11,144.39,150.2,136.49,148.83,7743384.35
2024-03-12,148.83,155.0,141.5,151.05,8930538.0
2024-03-13,151.06,166.73,148.71,163.9,7627285.95
2024-03-14,163.9,178.5,159.2,176.65,10423585.86
2024-03-15,176.65,188.98,164.5,183.95,17484961.6
